Hour,Date,Location
16,8/5/21,FFS
17,8/5/21,FFS
18,8/5/21,FFS
19,8/5/21,FFS
20,8/5/21,FFS
21,8/5/21,FFS
22,8/5/21,FFS
23,8/5/21,FFS
0,8/7/21,FFS
1,8/7/21,FFS
2,8/7/21,FFS
3,8/7/21,FFS
4,8/7/21,FFS
5,8/7/21,FFS
6,8/7/21,FFS
7,8/7/21,FFS
8,8/7/21,FFS
9,8/7/21,FFS
10,8/7/21,FFS
11,8/7/21,FFS
12,8/7/21,FFS
13,8/7/21,FFS
14,8/7/21,FFS
15,8/7/21,FFS
16,8/7/21,FFS
17,8/7/21,FFS
18,8/7/21,FFS
19,8/7/21,FFS
20,8/7/21,FFS
21,8/7/21,FFS
22,8/7/21,FFS
23,8/7/21,FFS
0,8/9/21,FFS
1,8/9/21,FFS
2,8/9/21,FFS
3,8/9/21,FFS
4,8/9/21,FFS
5,8/9/21,FFS
6,8/9/21,FFS
7,8/9/21,FFS
8,8/9/21,FFS
9,8/9/21,FFS
10,8/9/21,FFS
11,8/9/21,FFS
12,8/9/21,FFS
13,8/9/21,FFS
14,8/9/21,FFS
15,8/9/21,FFS
16,8/9/21,FFS
17,8/9/21,FFS
18,8/9/21,FFS
19,8/9/21,FFS
20,8/9/21,FFS
21,8/9/21,FFS
22,8/9/21,FFS
23,8/9/21,FFS
0,8/12/21,FFS
1,8/12/21,FFS
2,8/12/21,FFS
3,8/12/21,FFS
4,8/12/21,FFS
5,8/12/21,FFS
6,8/12/21,FFS
7,8/12/21,FFS
8,8/12/21,FFS
9,8/12/21,FFS
10,8/12/21,FFS
11,8/12/21,FFS
12,8/12/21,FFS
13,8/12/21,FFS
14,8/12/21,FFS
15,8/12/21,FFS
16,8/12/21,FFS
17,8/12/21,FFS
18,8/12/21,FFS
19,8/12/21,FFS
20,8/12/21,FFS
21,8/12/21,FFS
22,8/12/21,FFS
23,8/12/21,FFS
0,8/14/21,FFS
1,8/14/21,FFS
2,8/14/21,FFS
3,8/14/21,FFS
4,8/14/21,FFS
5,8/14/21,FFS
6,8/14/21,FFS
7,8/14/21,FFS
8,8/14/21,FFS
9,8/14/21,FFS
10,8/14/21,FFS
11,8/14/21,FFS
12,8/14/21,FFS
13,8/14/21,FFS
14,8/14/21,FFS
15,8/14/21,FFS
16,8/14/21,FFS
17,8/14/21,FFS
18,8/14/21,FFS
19,8/14/21,FFS
20,8/14/21,FFS
21,8/14/21,FFS
22,8/14/21,FFS
23,8/14/21,FFS
0,8/16/21,FFS
1,8/16/21,FFS
2,8/16/21,FFS
3,8/16/21,FFS
4,8/16/21,FFS
5,8/16/21,FFS
6,8/16/21,FFS
7,8/16/21,FFS
8,8/16/21,FFS
9,8/16/21,FFS
10,8/16/21,FFS
11,8/16/21,FFS
12,8/16/21,FFS
13,8/16/21,FFS
14,8/16/21,FFS
15,8/16/21,FFS
16,8/16/21,FFS
17,8/16/21,FFS
18,8/16/21,FFS
19,8/16/21,FFS
20,8/16/21,FFS
21,8/16/21,FFS
22,8/16/21,FFS
23,8/16/21,FFS
0,8/19/21,FFS
1,8/19/21,FFS
2,8/19/21,FFS
3,8/19/21,FFS
4,8/19/21,FFS
5,8/19/21,FFS
6,8/19/21,FFS
7,8/19/21,FFS
8,8/19/21,FFS
9,8/19/21,FFS
10,8/19/21,FFS
11,8/19/21,FFS
12,8/19/21,FFS
13,8/19/21,FFS
14,8/19/21,FFS
15,8/19/21,FFS
16,8/19/21,FFS
17,8/19/21,FFS
18,8/19/21,FFS
19,8/19/21,FFS
20,8/19/21,FFS
21,8/19/21,FFS
22,8/19/21,FFS
23,8/19/21,FFS
0,8/21/21,FFS
1,8/21/21,FFS
2,8/21/21,FFS
3,8/21/21,FFS
4,8/21/21,FFS
5,8/21/21,FFS
6,8/21/21,FFS
7,8/21/21,FFS
8,8/21/21,FFS
9,8/21/21,FFS
10,8/21/21,FFS
11,8/21/21,FFS
12,8/21/21,FFS
13,8/21/21,FFS
14,8/21/21,FFS
15,8/21/21,FFS
16,8/21/21,FFS
17,8/21/21,FFS
18,8/21/21,FFS
19,8/21/21,FFS
20,8/21/21,FFS
21,8/21/21,FFS
22,8/21/21,FFS
23,8/21/21,FFS
0,8/23/21,FFS
1,8/23/21,FFS
2,8/23/21,FFS
3,8/23/21,FFS
4,8/23/21,FFS
5,8/23/21,FFS
6,8/23/21,FFS
7,8/23/21,FFS
8,8/23/21,FFS
9,8/23/21,FFS
10,8/23/21,FFS
11,8/23/21,FFS
12,8/23/21,FFS
13,8/23/21,FFS
14,8/23/21,FFS
15,8/23/21,FFS
16,8/23/21,FFS
17,8/23/21,FFS
18,8/23/21,FFS
19,8/23/21,FFS
20,8/23/21,FFS
21,8/23/21,FFS
22,8/23/21,FFS
23,8/23/21,FFS
0,8/26/21,FFS
1,8/26/21,FFS
2,8/26/21,FFS
3,8/26/21,FFS
4,8/26/21,FFS
5,8/26/21,FFS
6,8/26/21,FFS
7,8/26/21,FFS
8,8/26/21,FFS
9,8/26/21,FFS
10,8/26/21,FFS
11,8/26/21,FFS
12,8/26/21,FFS
13,8/26/21,FFS
14,8/26/21,FFS
15,8/26/21,FFS
16,8/26/21,FFS
17,8/26/21,FFS
18,8/26/21,FFS
19,8/26/21,FFS
20,8/26/21,FFS
21,8/26/21,FFS
22,8/26/21,FFS
23,8/26/21,FFS
0,8/28/21,FFS
1,8/28/21,FFS
2,8/28/21,FFS
3,8/28/21,FFS
4,8/28/21,FFS
5,8/28/21,FFS
6,8/28/21,FFS
7,8/28/21,FFS
8,8/28/21,FFS
9,8/28/21,FFS
10,8/28/21,FFS
11,8/28/21,FFS
12,8/28/21,FFS
13,8/28/21,FFS
14,8/28/21,FFS
15,8/28/21,FFS
16,8/28/21,FFS
17,8/28/21,FFS
18,8/28/21,FFS
19,8/28/21,FFS
20,8/28/21,FFS
21,8/28/21,FFS
22,8/28/21,FFS
23,8/28/21,FFS
0,8/30/21,FFS
1,8/30/21,FFS
2,8/30/21,FFS
3,8/30/21,FFS
4,8/30/21,FFS
5,8/30/21,FFS
6,8/30/21,FFS
7,8/30/21,FFS
8,8/30/21,FFS
9,8/30/21,FFS
10,8/30/21,FFS
11,8/30/21,FFS
12,8/30/21,FFS
13,8/30/21,FFS
14,8/30/21,FFS
15,8/30/21,FFS
16,8/30/21,FFS
17,8/30/21,FFS
18,8/30/21,FFS
19,8/30/21,FFS
20,8/30/21,FFS
21,8/30/21,FFS
22,8/30/21,FFS
23,8/30/21,FFS
0,9/2/21,FFS
1,9/2/21,FFS
2,9/2/21,FFS
3,9/2/21,FFS
4,9/2/21,FFS
5,9/2/21,FFS
6,9/2/21,FFS
7,9/2/21,FFS
8,9/2/21,FFS
9,9/2/21,FFS
10,9/2/21,FFS
11,9/2/21,FFS
12,9/2/21,FFS
13,9/2/21,FFS
14,9/2/21,FFS
15,9/2/21,FFS
16,9/2/21,FFS
17,9/2/21,FFS
18,9/2/21,FFS
19,9/2/21,FFS
20,9/2/21,FFS
21,9/2/21,FFS
22,9/2/21,FFS
23,9/2/21,FFS
0,9/5/21,FFS
1,9/5/21,FFS
2,9/5/21,FFS
3,9/5/21,FFS
4,9/5/21,FFS
5,9/5/21,FFS
6,9/5/21,FFS
7,9/5/21,FFS
8,9/5/21,FFS
9,9/5/21,FFS
10,9/5/21,FFS
11,9/5/21,FFS
12,9/5/21,FFS
13,9/5/21,FFS
15,7/22/20,RI20_1
16,7/22/20,RI20_1
17,7/22/20,RI20_1
18,7/22/20,RI20_1
19,7/22/20,RI20_1
20,7/22/20,RI20_1
21,7/22/20,RI20_1
22,7/22/20,RI20_1
23,7/22/20,RI20_1
0,7/23/20,RI20_1
1,7/23/20,RI20_1
2,7/23/20,RI20_1
3,7/23/20,RI20_1
4,7/23/20,RI20_1
5,7/23/20,RI20_1
6,7/23/20,RI20_1
7,7/23/20,RI20_1
8,7/23/20,RI20_1
9,7/23/20,RI20_1
10,7/23/20,RI20_1
11,7/23/20,RI20_1
12,7/23/20,RI20_1
13,7/23/20,RI20_1
14,7/23/20,RI20_1
15,7/23/20,RI20_1
16,7/23/20,RI20_1
17,7/23/20,RI20_1
18,7/23/20,RI20_1
19,7/23/20,RI20_1
20,7/23/20,RI20_1
21,7/23/20,RI20_1
22,7/23/20,RI20_1
23,7/23/20,RI20_1
0,7/24/20,RI20_1
1,7/24/20,RI20_1
2,7/24/20,RI20_1
3,7/24/20,RI20_1
4,7/24/20,RI20_1
5,7/24/20,RI20_1
6,7/24/20,RI20_1
7,7/24/20,RI20_1
8,7/24/20,RI20_1
9,7/24/20,RI20_1
10,7/24/20,RI20_1
11,7/24/20,RI20_1
12,7/24/20,RI20_1
13,7/24/20,RI20_1
14,7/24/20,RI20_1
15,7/24/20,RI20_1
16,7/24/20,RI20_1
17,7/24/20,RI20_1
18,7/24/20,RI20_1
19,7/24/20,RI20_1
20,7/24/20,RI20_1
21,7/24/20,RI20_1
22,7/24/20,RI20_1
23,7/24/20,RI20_1
0,7/25/20,RI20_1
1,7/25/20,RI20_1
2,7/25/20,RI20_1
3,7/25/20,RI20_1
4,7/25/20,RI20_1
5,7/25/20,RI20_1
6,7/25/20,RI20_1
7,7/25/20,RI20_1
8,7/25/20,RI20_1
9,7/25/20,RI20_1
10,7/25/20,RI20_1
11,7/25/20,RI20_1
12,7/25/20,RI20_1
13,7/25/20,RI20_1
14,7/25/20,RI20_1
15,7/25/20,RI20_1
16,7/25/20,RI20_1
17,7/25/20,RI20_1
18,7/25/20,RI20_1
19,7/25/20,RI20_1
20,7/25/20,RI20_1
21,7/25/20,RI20_1
22,7/25/20,RI20_1
23,7/25/20,RI20_1
0,7/26/20,RI20_1
1,7/26/20,RI20_1
2,7/26/20,RI20_1
3,7/26/20,RI20_1
4,7/26/20,RI20_1
5,7/26/20,RI20_1
6,7/26/20,RI20_1
7,7/26/20,RI20_1
8,7/26/20,RI20_1
9,7/26/20,RI20_1
10,7/26/20,RI20_1
11,7/26/20,RI20_1
12,7/26/20,RI20_1
13,7/26/20,RI20_1
14,7/26/20,RI20_1
15,7/26/20,RI20_1
16,7/26/20,RI20_1
17,7/26/20,RI20_1
18,7/26/20,RI20_1
19,7/26/20,RI20_1
20,7/26/20,RI20_1
21,7/26/20,RI20_1
22,7/26/20,RI20_1
23,7/26/20,RI20_1
0,7/27/20,RI20_1
1,7/27/20,RI20_1
2,7/27/20,RI20_1
3,7/27/20,RI20_1
4,7/27/20,RI20_1
5,7/27/20,RI20_1
6,7/27/20,RI20_1
7,7/27/20,RI20_1
8,7/27/20,RI20_1
9,7/27/20,RI20_1
10,7/27/20,RI20_1
11,7/27/20,RI20_1
12,7/27/20,RI20_1
13,7/27/20,RI20_1
14,7/27/20,RI20_1
15,7/27/20,RI20_1
16,7/27/20,RI20_1
17,7/27/20,RI20_1
18,7/27/20,RI20_1
19,7/27/20,RI20_1
20,7/27/20,RI20_1
21,7/27/20,RI20_1
