Location,Year,VocalType,DeltaTime,Dur90,Freq5,Freq25,CenterFreq,Freq75,Freq95,BW50,BW90,PeakFreq,AvgPower,PeakPower,AggEntropy,RMSAmp,SNRNIST,Harmonics,Whoops/Bout
LR,2021,MoanForagingCall,0.7625,0.6927,35.156,46.875,117.188,187.5,363.281,140.625,328.125,187.5,-96.59,-60.77,4.458,31.153,20.62,3,
LR,2021,MoanForagingCall,1.0949,0.9065,46.875,93.75,269.531,304.688,539.062,210.938,492.188,304.688,-91.4,-53.44,4.406,56.44,17.71,2,
LR,2021,MoanForagingCall,1.1587,0.821,35.156,46.875,82.031,199.219,398.438,152.344,363.281,46.875,-96.84,-59.11,4.275,30.141,20.17,2,
LR,2021,MoanForagingCall,1.4206,1.2657,46.875,58.594,117.188,281.25,550.781,222.656,503.906,58.594,-90.65,-53.16,4.372,61.542,17.64,7,
LR,2021,MoanForagingCall,1.1031,0.8381,58.594,82.031,93.75,199.219,292.969,117.188,234.375,199.219,-89.79,-51.08,3.97,67.997,17.37,6,
LR,2021,MoanGrowl,3.0801,2.5229,35.156,246.094,257.812,269.531,480.469,23.438,445.312,257.812,-96.51,-59.12,3.917,31.35,19.66,3,
LR,2021,MoanForagingCall,0.9724,0.8039,46.875,222.656,234.375,269.531,421.875,46.875,375,234.375,-94.79,-54,4.201,38.258,22.4,3,
LR,2021,MoanForagingCall,1.9628,1.5907,46.875,58.594,70.312,187.5,281.25,128.906,234.375,46.875,-93.62,-53.25,3.8,43.784,18.99,5,
LR,2021,MoanForagingCall,0.9166,0.6671,46.875,58.594,70.312,117.188,187.5,58.594,140.625,128.906,-91.9,-55.37,3.305,53.257,18.34,6,
LR,2021,MoanGrowl,2.7877,2.5314,58.594,93.75,222.656,269.531,433.594,175.781,375,210.938,-93.38,-53.02,4.582,44.947,19,5,
LR,2021,GrowlWhoop,3.5982,3.1728,46.875,58.594,82.031,152.344,269.531,93.75,222.656,152.344,-92.61,-52.67,4.051,49.067,18.79,0,
LR,2021,MoanGrowl,5.5022,4.755,58.594,175.781,199.219,316.406,445.312,140.625,386.719,187.5,-88.03,-51.12,4.879,83.158,15.36,5,
LR,2021,MoanGrowl,1.2888,1.0519,35.156,46.875,257.812,363.281,398.438,316.406,363.281,46.875,-92.95,-54.29,4.351,47.279,19.31,2,
LR,2021,MoanWhoop,1.2086,1.0776,46.875,70.312,105.469,152.344,269.531,82.031,222.656,105.469,-94.84,-54.29,4.078,38.074,18.64,3,
LR,2021,Croak,0.2534,0.1283,82.031,234.375,257.812,269.531,351.562,35.156,269.531,257.812,-86.09,-49.77,3.889,102.953,18.89,0,
LR,2021,Croak,0.2534,0.1112,187.5,199.219,199.219,210.938,269.531,11.719,82.031,199.219,-86.63,-48.06,2.356,96.677,20.62,0,
LR,2021,Croak,0.3928,0.2395,187.5,210.938,246.094,292.969,351.562,82.031,164.062,210.938,-90.71,-55.39,4.009,61.192,18.22,0,
LR,2021,Croak,0.3433,0.1967,187.5,222.656,234.375,269.531,375,46.875,187.5,269.531,-85.94,-50.99,3.722,105.738,17.95,0,
LR,2021,Croak,0.434,0.2395,117.188,257.812,328.125,398.438,468.75,140.625,351.562,457.031,-88.71,-54.9,4.937,76.391,18,0,
LR,2021,Croak,0.2664,0.1368,187.5,222.656,234.375,292.969,339.844,70.312,152.344,234.375,-79.45,-42.58,3.815,222.986,20.42,0,
LR,2021,Croak,0.4694,0.2309,128.906,199.219,246.094,304.688,386.719,105.469,257.812,257.812,-84.01,-48.78,4.473,132.32,20.19,0,
LR,2021,Croak,0.4466,0.2908,210.938,246.094,257.812,304.688,398.438,58.594,187.5,246.094,-90.76,-54.24,3.949,60.652,17.34,0,
LR,2021,Croak,0.4512,0.2993,199.219,234.375,246.094,257.812,339.844,23.438,140.625,246.094,-91.04,-55.52,3.572,58.99,17.46,0,
LR,2021,Croak,0.4737,0.1625,105.469,199.219,222.656,269.531,328.125,70.312,222.656,199.219,-84.35,-48.96,4.19,127.858,23.54,0,
LR,2021,Croak,0.2648,0.1197,164.062,187.5,199.219,210.938,304.688,23.438,140.625,199.219,-78.37,-41.27,3.154,253.341,21.65,0,
LR,2021,Croak,0.3646,0.1967,128.906,210.938,234.375,292.969,386.719,82.031,257.812,234.375,-81.46,-46.55,4.37,175.975,18.39,0,
LR,2021,Croak,0.4063,0.2651,210.938,234.375,246.094,269.531,398.438,35.156,187.5,246.094,-88.25,-51.99,3.651,81.56,17.2,0,
LR,2021,Croak,0.3701,0.1967,210.938,246.094,257.812,339.844,445.312,93.75,234.375,246.094,-91.8,-56.36,4.193,53.772,19.25,0,
LR,2021,Croak,0.4847,0.248,140.625,246.094,339.844,410.156,480.469,164.062,339.844,351.562,-83.04,-48.08,4.853,148.267,19.83,0,
LR,2021,Croak,0.3633,0.1625,128.906,199.219,222.656,246.094,363.281,46.875,234.375,210.938,-83.9,-48.01,3.944,133.192,19.79,0,
LR,2021,Croak,0.2514,0.1454,93.75,164.062,175.781,222.656,257.812,58.594,164.062,175.781,-94.45,-58.19,3.572,39.48,25.98,0,
LR,2021,Croak,0.4945,0.2224,187.5,210.938,246.094,257.812,433.594,46.875,246.094,246.094,-89.68,-50.5,3.671,68.939,20.62,0,
LR,2021,Croak,0.452,0.171,128.906,246.094,257.812,304.688,339.844,58.594,210.938,269.531,-89.23,-52.01,3.948,72.553,20.9,0,
LR,2021,Croak,0.4859,0.2566,128.906,175.781,246.094,328.125,375,152.344,246.094,257.812,-86.17,-50.81,4.38,103.228,19.98,0,
